n_tables,rep,dp_cost,dp_time,greedy_cost,greedy_time,mcts_cost,mcts_time,greedy_ratio,mcts_ratio
4,0,6407330623.403711,0.00023060000012264936,6407330623.403711,6.029999985912582e-05,6407330623.403711,0.013153200000033394,1.0,1.0
4,1,329720459.83209205,0.00023469999996450497,7241700589.798887,4.5700000100623583e-05,329720459.83209205,0.014231499999823427,21.963152039417498,1.0
4,2,452679367416.7062,0.0001716000001579232,525364912855.539,4.350000017439015e-05,452679367416.7062,0.013734300000123767,1.1605673920011543,1.0
4,3,3003064209.4575844,0.00014310000005934853,3003064209.4575844,3.819999983534217e-05,3003064209.4575844,0.012548500000320928,1.0,1.0
4,4,5976940194.076076,0.00016090000008261995,852686385283.2858,4.399999988891068e-05,5976940194.076076,0.012894800000140094,142.66269321690868,1.0
4,5,479533121415.34,0.00015359999997599516,479533121415.34,4.059999992023222e-05,479533121415.34,0.013557599999785452,1.0,1.0
4,6,1141363154590.37,0.0001357000001007691,1141363154590.37,3.8099999983387534e-05,1141363154590.37,0.012572999999974854,1.0,1.0
4,7,18022030.75004609,0.00018099999988407944,18022030.75004609,5.210000017541461e-05,18022030.75004609,0.014053700000204117,1.0,1.0
4,8,12210575220.558344,0.00012429999969754135,12210575220.558344,3.789999982473091e-05,12210575220.558344,0.012567000000217377,1.0,1.0
4,9,3899225993.72961,0.0001809000000321248,3899225993.72961,4.179999996267725e-05,3899225993.72961,0.014140599999791448,1.0,1.0
6,0,26004556339675.17,0.0009653000001890177,58547380327831.41,0.00011200000017197453,26004556339675.17,0.029684199999792327,2.2514277714673265,1.0
6,1,3.3541423495907276e+16,0.0012664000000768283,3.3541423495907276e+16,9.36000001274806e-05,3.354142349590727e+16,0.030711999999766704,1.0,0.9999999999999999
6,2,4143134098558.248,0.001648799999657058,4143134098558.248,0.0001015000002553279,4143134098558.248,0.039320500000030734,1.0,1.0
6,3,5914088772400935.0,0.0014000000001033186,4.716540952110756e+18,9.420000014870311e-05,5914730261180682.0,0.0393991000000824,797.5093262247377,1.0001084678983414
6,4,291278070673848.3,0.0012287999998079613,1054629217432273.8,9.689999978945707e-05,291278070673848.25,0.03240129999994679,3.620695560748786,0.9999999999999998
6,5,484995407598017.56,0.0015063000000736793,1249785068433589.5,0.00010040000006483751,484995407598017.56,0.036827099999754864,2.5769008300991136,1.0
6,6,7542926641.823286,0.0014701999998578685,7542926641.823286,9.580000005371403e-05,7542926641.823286,0.04047129999980825,1.0,1.0
6,7,1106971010990332.5,0.0010056000000986387,2471685661634259.0,0.00010790000033011893,1106971010990332.5,0.030001200000242534,2.232836846759888,1.0
6,8,1257951577021629.5,0.0008870999999999185,1257951577021629.5,8.709999974598759e-05,1257951577021629.5,0.02962500000012369,1.0,1.0
6,9,181645742734102.34,0.0022132000003693975,6809406638774512.0,0.00011300000005576294,181645742734102.34,0.036679800000001705,37.48729002001602,1.0
8,0,9.725200677925997e+16,0.0048814000001584645,8.176712753722006e+17,0.00015280000025086338,9.725200677925997e+16,0.060322099999666534,8.407757355877798,1.0
8,1,3.145383706700841e+18,0.011260199999924225,1.9477308407499928e+21,0.0001978999998755171,3.1454084864323896e+18,0.09532129999979588,619.2347333015681,1.0000078781267594
8,2,5.701560863897756e+18,0.009242599999652157,1.1047751123472434e+21,0.00018110000019078143,5.701560863897756e+18,0.095153400000072,193.76713477578951,1.0
8,3,2149648648679732.8,0.0100761000003331,1.2482910648442596e+18,0.00018929999987449264,2150179473366770.5,0.09029999999984284,580.6953920636904,1.0002469355572892
8,4,2303187091448818.5,0.011863300000186427,4.314267924160572e+17,0.0001957999998012383,2303187091448818.5,0.09467439999980343,187.31730219305302,1.0
8,5,6.230331961406158e+16,0.01246579999997266,1.8951628369130873e+19,0.00019389999988561613,6.230331961406158e+16,0.09604339999987133,304.1832840774278,1.0
8,6,3.060458128371557e+16,0.008765200000198092,3.0604613853690456e+16,0.0001857000002019049,3.0604581283715564e+16,0.08338370000001305,1.0000010642189345,0.9999999999999999
8,7,3467467753326242.0,0.011071400000219,2.3524189331900187e+19,0.00019419999989622738,3467467753326242.0,0.09936890000017229,6784.256121584435,1.0
8,8,8.95187224053539e+16,0.01290659999995114,1.4985270510961695e+19,0.00020010000025649788,8.95187224053539e+16,0.10206650000009176,167.3981722293376,1.0
8,9,7.237686011682022e+16,0.008638400000108959,1.5502573023432344e+20,0.0001843999998527579,7.237686011682022e+16,0.0899453000001813,2141.9239517174883,1.0
